FIRMA;DIL;Login;WaitTime;WaitCount;CustomMaxAnswered;MEDIATION_DURATION;SAAT
4;1;3;0;0;67;1;6
2;2;10;0;0;3;0;6
2;2;10;0;0;64;0;6
2;1;6;0;0;3;0;6
4;1;2;0;0;8;65;6
1;2;7;0;0;150;1;6
4;1;2;0;0;3;6;6
2;2;10;0;0;3;1;6
2;2;9;0;0;64;0;6
2;1;6;0;0;3;0;6
4;1;2;0;0;3;0;6
2;2;10;0;0;64;1;6
3;2;2;0;0;549;240;6
4;2;2;0;0;371;573;6
2;1;6;0;0;3;1;6
3;1;3;0;0;12;12;6
4;1;2;0;0;2;1;6
4;2;2;0;0;575;981;6
3;1;3;0;0;14;17;6
2;1;6;0;0;72;0;6
2;2;10;155;2;269;78;6
3;2;2;0;0;549;313;6
4;1;1;0;0;2;0;6
3;1;3;0;0;71;11;6
3;2;2;0;0;246;547;6
2;2;9;0;0;64;0;6
2;2;9;6;1;144;62;6
3;1;3;0;0;71;1;6
2;1;6;0;0;72;0;6
1;2;7;0;0;216;0;6
1;2;7;0;0;419;0;6
3;1;3;0;0;71;0;6
2;2;9;0;0;115;0;6
2;2;9;0;0;144;0;6
2;2;9;0;0;144;53;6
2;2;9;0;0;144;0;6
1;2;7;207;1;17;417;6
2;2;9;0;0;3;84;6
3;1;3;0;0;71;7;6
2;2;10;0;0;142;1;6
3;1;3;0;0;71;0;6
2;2;9;0;0;144;36;6
1;2;7;0;0;216;266;6
1;2;7;107;2;348;214;6
1;2;7;1793;4;1520;588;5
2;2;8;0;0;142;0;6
3;1;3;0;0;125;69;6
3;1;3;0;0;125;0;6
2;2;9;4;1;3;142;6
2;1;6;0;0;72;0;6
2;2;9;0;0;3;0;6
2;1;6;0;0;2;1;6
3;2;2;0;0;1022;245;6
2;2;10;0;0;155;0;6
1;2;7;0;0;216;16;6
2;2;10;0;0;155;0;6
2;1;6;0;0;107;1;6
3;1;3;0;0;125;0;6
3;1;3;0;0;125;13;6
2;2;10;0;0;142;0;6
3;2;2;0;0;246;0;6
2;2;9;0;0;142;0;6
2;2;10;0;0;142;0;6
2;1;6;0;0;6;0;6
2;2;10;76;1;128;94;6
1;2;6;0;0;348;0;6
2;2;10;0;0;155;0;6
3;1;3;0;0;125;0;6
2;2;10;28;2;269;127;6
4;2;2;0;0;371;92;6
2;1;6;0;0;6;0;6
3;1;3;0;0;178;0;6
4;2;2;0;0;371;124;6
3;1;3;0;0;77;0;6
2;1;6;0;0;107;54;6
2;2;10;87;2;155;113;6
2;1;6;0;0;107;1;6
2;1;6;0;0;3;106;6
2;1;6;0;0;2;1;6
2;2;10;108;2;128;140;6
3;1;3;0;0;178;76;6
1;2;7;0;0;638;163;6
1;2;6;0;0;638;14;6
2;2;10;124;2;155;61;6
1;2;7;1917;5;1520;674;5
3;2;2;1567;1;1919;1020;5
2;2;10;32;1;128;39;6
2;2;10;161;2;251;119;6
4;2;2;0;0;371;128;6
2;1;6;0;0;13;6;6
2;2;10;0;0;166;1;6
2;2;9;3;1;269;29;6
2;2;10;0;0;166;1;6
3;1;3;0;0;178;0;6
4;2;2;0;0;842;369;6
2;1;6;0;0;2;0;6
2;2;10;0;1;166;80;6
2;2;10;0;0;166;0;6
2;1;6;0;0;13;1;6
2;2;9;181;6;527;209;5
2;2;10;0;0;269;1;6
3;1;3;0;0;2;0;6
1;2;7;2021;6;1520;638;6
4;2;2;0;0;371;77;6
2;2;9;0;0;269;1;6
3;1;3;0;0;2;176;6
2;2;9;89;2;269;55;6
2;2;8;0;0;269;19;6
1;2;7;591;2;1043;24;6
4;2;2;162;1;842;270;6
3;1;2;0;0;2;0;5
2;2;9;59;1;269;78;6
3;2;2;872;2;1472;2088;5
4;2;2;0;0;842;0;6
2;2;9;157;6;527;220;5
2;1;6;0;0;3;0;6
